product_id,review_count_observed,review_avg_rating,recommendation_rate,avg_helpfulness,avg_review_length,skin_share_dry,theme_lightweight_count,theme_greasy_count,theme_hydrating_count,theme_drying_count,theme_fragrance_count,theme_irritation_count,theme_breakout_count,theme_absorption_count,theme_sticky_count,theme_texture_count,theme_effective_count,skin_share_unknown,skin_share_combination,skin_share_normal,skin_share_oily,skin_share_sensitive
P420224,535,4.269158878504673,0.8114754098360656,0.7449161068246534,340.46168224299066,0.18691588785046728,5,32,103,73,88,76,112,44,11,170,149,0.07850467289719626,0.5102803738317757,0.09719626168224299,0.12710280373831775,0.0
P468821,535,4.536448598130841,0.8953271028037383,0.7002273114387598,279.7158878504673,0.2822429906542056,25,99,228,133,39,89,55,31,16,247,92,0.018691588785046728,0.497196261682243,0.102803738317757,0.09906542056074766,0.0
P382204,534,4.192883895131086,0.8365384615384616,0.7800959120874535,363.20973782771534,0.0749063670411985,8,48,195,149,21,158,112,15,17,180,118,0.6198501872659176,0.20973782771535582,0.035580524344569285,0.0599250936329588,0.0
P483076,533,4.647279549718574,0.949343339587242,0.6661797678992574,340.9549718574109,0.21388367729831145,58,79,289,60,172,69,38,62,21,298,95,0.05628517823639775,0.5140712945590994,0.1350844277673546,0.08067542213883677,0.0
P482551,533,4.647279549718574,0.949343339587242,0.6661797678992574,340.9549718574109,0.21388367729831145,58,79,289,60,172,69,38,62,21,298,95,0.05628517823639775,0.5140712945590994,0.1350844277673546,0.08067542213883677,0.0
P436387,531,4.4086629001883235,0.8625235404896422,0.7753980736560927,303.8719397363465,0.18267419962335216,0,16,33,56,159,137,54,2,0,235,107,0.011299435028248588,0.559322033898305,0.1111111111111111,0.13559322033898305,0.0
P447603,531,4.47457627118644,0.879472693032015,0.8469345944722285,322.3691148775895,0.2937853107344633,17,46,275,156,90,219,92,38,13,217,78,0.015065913370998116,0.5009416195856874,0.11299435028248588,0.07721280602636535,0.0
P438619,531,4.369114877589454,0.8738229755178908,0.7857525756805198,284.0169491525424,0.2184557438794727,49,21,206,53,56,66,7,34,8,160,115,0.032015065913371,0.5329566854990584,0.12429378531073447,0.09227871939736347,0.0
P446641,531,4.395480225988701,0.9020715630885122,0.8219678275228486,393.3728813559322,0.19962335216572505,41,165,116,73,128,102,97,90,19,223,153,0.009416195856873822,0.5668549905838042,0.09227871939736347,0.1318267419962335,0.0
P414293,530,4.435849056603773,0.8511627906976744,0.8249474931508303,435.1622641509434,0.2358490566037736,4,84,154,286,94,100,71,71,57,138,142,0.13018867924528302,0.43018867924528303,0.13018867924528302,0.07358490566037736,0.0
